2014-12-16 22:20:04,039 [11] INFO  DayKLog [(null)] - Line:58  code:601328,date:交通银行 starting 
2014-12-16 22:20:04,184 [23] INFO  DayKLog [(null)] - Line:59  code:000333,date:美的集团 starting 
2014-12-16 22:20:04,323 [21] INFO  DayKLog [(null)] - Line:60  code:002216,date:三全食品 starting 
2014-12-16 22:20:04,465 [9] INFO  DayKLog [(null)] - Line:61  code:600000,date:浦发银行 starting 
2014-12-16 22:20:04,500 [19] INFO  DayKLog [(null)] - Line:62  code:002630,date:华西能源 starting 
2014-12-16 22:20:04,640 [17] INFO  DayKLog [(null)] - Line:63  code:002344,date:海宁皮城 starting 
2014-12-16 22:20:04,755 [13] INFO  DayKLog [(null)] - Line:64  code:002251,date:步步高 starting 
2014-12-16 22:20:04,901 [16] INFO  DayKLog [(null)] - Line:65  code:002024,date:苏宁云商 starting 
2014-12-16 22:20:05,062 [11] INFO  DayKLog [(null)] - Line:66  code:600655,date:豫园商城 starting 
2014-12-16 22:20:05,088 [22] INFO  DayKLog [(null)] - Line:67  code:600415,date:小商品城 starting 
2014-12-16 22:20:05,356 [14] INFO  DayKLog [(null)] - Line:68  code:601169,date:北京银行 starting 
2014-12-16 22:20:05,665 [23] INFO  DayKLog [(null)] - Line:69  code:002230,date:科大讯飞 starting 
2014-12-16 22:20:05,715 [12] INFO  DayKLog [(null)] - Line:70  code:601288,date:农业银行 starting 
2014-12-16 22:20:05,849 [21] INFO  DayKLog [(null)] - Line:71  code:002697,date:红旗连锁 starting 
2014-12-16 22:20:05,943 [15] INFO  DayKLog [(null)] - Line:72  code:600983,date:合肥三洋 starting 
2014-12-16 22:20:06,108 [1] INFO  DayKLog [(null)] - Line:73  code:000521,date:美菱电器 starting 
2014-12-16 22:20:06,175 [20] INFO  DayKLog [(null)] - Line:74  code:600661,date:新南洋 starting 
2014-12-16 22:20:06,178 [9] INFO  DayKLog [(null)] - Line:75  code:601098,date:中南传媒 starting 
2014-12-16 22:20:06,262 [18] INFO  DayKLog [(null)] - Line:76  code:002508,date:老板电器 starting 
2014-12-16 22:20:06,320 [19] INFO  DayKLog [(null)] - Line:77  code:300015,date:爱尔眼科 starting 
2014-12-16 22:20:06,332 [22] INFO  DayKLog [(null)] - Line:78  code:002271,date:东方雨虹 starting 
2014-12-16 22:20:06,407 [14] INFO  DayKLog [(null)] - Line:79  code:300002,date:神州泰岳 starting 
2014-12-16 22:20:06,474 [12] INFO  DayKLog [(null)] - Line:80  code:300334,date:津膜科技 starting 
2014-12-16 22:20:06,829 [13] INFO  DayKLog [(null)] - Line:81  code:601933,date:永辉超市 starting 
2014-12-16 22:20:06,830 [17] INFO  DayKLog [(null)] - Line:82  code:002419,date:天虹商场 starting 
2014-12-16 22:20:07,024 [16] INFO  DayKLog [(null)] - Line:83  code:600859,date:王府井 starting 
2014-12-16 22:20:07,256 [11] INFO  DayKLog [(null)] - Line:84  code:000861,date:海印股份 starting 
2014-12-16 22:20:07,353 [23] INFO  DayKLog [(null)] - Line:85  code:300010,date:立思辰 starting 
2014-12-16 22:20:07,505 [15] INFO  DayKLog [(null)] - Line:86  code:002339,date:积成电子 starting 
2014-12-16 22:20:07,568 [21] INFO  DayKLog [(null)] - Line:87  code:000045,date:深纺织A starting 
2014-12-16 22:20:07,618 [9] INFO  DayKLog [(null)] - Line:88  code:300235,date:方直科技 starting 
2014-12-16 22:20:07,866 [1] INFO  DayKLog [(null)] - Line:89  code:300285,date:国瓷材料 starting 
2014-12-16 22:20:08,032 [20] INFO  DayKLog [(null)] - Line:90  code:300359,date:全通教育 starting 
2014-12-16 22:20:08,210 [18] INFO  DayKLog [(null)] - Line:91  code:600188,date:兖州煤业 starting 
2014-12-16 22:20:08,369 [19] INFO  DayKLog [(null)] - Line:92  code:002672,date:东江环保 starting 
2014-12-16 22:20:08,458 [14] INFO  DayKLog [(null)] - Line:93  code:600271,date:航天信息 starting 
2014-12-16 22:20:08,459 [22] INFO  DayKLog [(null)] - Line:94  code:600313,date:农发种业 starting 
2014-12-16 22:20:08,577 [12] INFO  DayKLog [(null)] - Line:95  code:600706,date:曲江文旅 starting 
2014-12-16 22:20:08,706 [13] INFO  DayKLog [(null)] - Line:96  code:002646,date:青青稞酒 starting 
2014-12-16 22:20:08,723 [15] INFO  DayKLog [(null)] - Line:97  code:000788,date:北大医药 starting 
2014-12-16 22:20:08,828 [17] INFO  DayKLog [(null)] - Line:98  code:002695,date:煌上煌 starting 
2014-12-16 22:20:08,906 [1] INFO  DayKLog [(null)] - Line:99  code:601898,date:中煤能源 starting 
2014-12-16 22:20:08,995 [16] INFO  DayKLog [(null)] - Line:100  code:002570,date:贝因美 starting 
2014-12-16 22:20:09,150 [11] INFO  DayKLog [(null)] - Line:101  code:000568,date:泸州老窖 starting 
2014-12-16 22:20:09,213 [20] INFO  DayKLog [(null)] - Line:102  code:600597,date:光明乳业 starting 
2014-12-16 22:20:09,251 [23] INFO  DayKLog [(null)] - Line:103  code:000860,date:顺鑫农业 starting 
2014-12-16 22:20:09,534 [21] INFO  DayKLog [(null)] - Line:104  code:002013,date:中航机电 starting 
2014-12-16 22:20:09,633 [18] INFO  DayKLog [(null)] - Line:105  code:601088,date:中国神华 starting 
2014-12-16 22:20:10,072 [19] INFO  DayKLog [(null)] - Line:106  code:000869,date:张裕A starting 
2014-12-16 22:20:10,081 [6] INFO  DayKLog [(null)] - Line:107  code:600073,date:上海梅林 starting 
2014-12-16 22:20:10,112 [9] INFO  DayKLog [(null)] - Line:108  code:002385,date:大北农 starting 
2014-12-16 22:20:10,405 [14] INFO  DayKLog [(null)] - Line:109  code:600305,date:恒顺醋业 starting 
2014-12-16 22:20:10,409 [22] INFO  DayKLog [(null)] - Line:110  code:002329,date:皇氏乳业 starting 
2014-12-16 22:20:11,013 [24] INFO  DayKLog [(null)] - Line:111  code:002661,date:克明面业 starting 
2014-12-16 22:20:11,129 [13] INFO  DayKLog [(null)] - Line:112  code:002714,date:牧原股份 starting 
2014-12-16 22:20:11,303 [12] INFO  DayKLog [(null)] - Line:113  code:603288,date:海天味业 starting 
2014-12-16 22:20:11,361 [17] INFO  DayKLog [(null)] - Line:114  code:000858,date:五粮液 starting 
