2014-12-15 20:55:57,240 [1] INFO  DayKLog [(null)] - starttime:2014-12-15 20:55:55 250
2014-12-15 20:56:00,990 [1] INFO  DayKLog [(null)] - Line:1  code:601908,date:京运通 starting 
2014-12-15 20:56:00,990 [11] INFO  DayKLog [(null)] - Line:6  code:002531,date:天顺风能 starting 
2014-12-15 20:56:00,990 [13] INFO  DayKLog [(null)] - Line:4  code:002350,date:北京科锐 starting 
2014-12-15 20:56:00,990 [14] INFO  DayKLog [(null)] - Line:3  code:002606,date:大连电瓷 starting 
2014-12-15 20:56:00,990 [17] INFO  DayKLog [(null)] - Line:2  code:002104,date:恒宝股份 starting 
2014-12-15 20:56:01,020 [15] INFO  DayKLog [(null)] - Line:8  code:603005,date:晶方科技 starting 
2014-12-15 20:56:00,990 [12] INFO  DayKLog [(null)] - Line:5  code:002121,date:科陆电子 starting 
2014-12-15 20:56:00,990 [16] INFO  DayKLog [(null)] - Line:7  code:002179,date:中航光电 starting 
2014-12-15 20:56:01,260 [9] INFO  DayKLog [(null)] - Line:9  code:002185,date:华天科技 starting 
2014-12-15 20:56:01,790 [8] INFO  DayKLog [(null)] - Line:10  code:300205,date:天喻信息 starting 
2014-12-15 20:56:02,030 [12] INFO  DayKLog [(null)] - Line:11  code:300267,date:尔康制药 starting 
2014-12-15 20:56:02,040 [15] INFO  DayKLog [(null)] - Line:12  code:000598,date:兴蓉投资 starting 
2014-12-15 20:56:02,090 [1] INFO  DayKLog [(null)] - Line:13  code:002650,date:加加食品 starting 
2014-12-15 20:56:02,180 [13] INFO  DayKLog [(null)] - Line:14  code:600547,date:山东黄金 starting 
2014-12-15 20:56:02,420 [16] INFO  DayKLog [(null)] - Line:15  code:600340,date:华夏幸福 starting 
2014-12-15 20:56:02,480 [11] INFO  DayKLog [(null)] - Line:16  code:600729,date:重庆百货 starting 
2014-12-15 20:56:02,660 [8] INFO  DayKLog [(null)] - Line:17  code:002519,date:银河电子 starting 
2014-12-15 20:56:02,690 [15] INFO  DayKLog [(null)] - Line:18  code:600329,date:中新药业 starting 
2014-12-15 20:56:02,750 [17] INFO  DayKLog [(null)] - Line:20  code:002084,date:海鸥卫浴 starting 
2014-12-15 20:56:02,750 [14] INFO  DayKLog [(null)] - Line:19  code:000543,date:皖能电力 starting 
2014-12-15 20:56:02,790 [1] INFO  DayKLog [(null)] - Line:21  code:300207,date:欣旺达 starting 
2014-12-15 20:56:02,830 [16] INFO  DayKLog [(null)] - Line:22  code:600006,date:东风汽车 starting 
2014-12-15 20:56:02,870 [11] INFO  DayKLog [(null)] - Line:23  code:002292,date:奥飞动漫 starting 
2014-12-15 20:56:03,030 [8] INFO  DayKLog [(null)] - Line:24  code:300104,date:乐视网 starting 
2014-12-15 20:56:03,170 [15] INFO  DayKLog [(null)] - Line:25  code:300133,date:华策影视 starting 
2014-12-15 20:56:03,320 [1] INFO  DayKLog [(null)] - Line:26  code:603000,date:人民网 starting 
2014-12-15 20:56:03,350 [9] INFO  DayKLog [(null)] - Line:27  code:300001,date:特锐德 starting 
2014-12-15 20:56:03,380 [16] INFO  DayKLog [(null)] - Line:28  code:002276,date:万马股份 starting 
2014-12-15 20:56:03,410 [11] INFO  DayKLog [(null)] - Line:29  code:600686,date:金龙汽车 starting 
2014-12-15 20:56:03,440 [8] INFO  DayKLog [(null)] - Line:30  code:000957,date:中通客车 starting 
2014-12-15 20:56:03,580 [12] INFO  DayKLog [(null)] - Line:31  code:002454,date:松芝股份 starting 
2014-12-15 20:56:03,580 [13] INFO  DayKLog [(null)] - Line:32  code:000848,date:承德露露 starting 
2014-12-15 20:56:03,610 [15] INFO  DayKLog [(null)] - Line:33  code:600373,date:中文传媒 starting 
2014-12-15 20:56:03,660 [1] INFO  DayKLog [(null)] - Line:34  code:600880,date:博瑞传播 starting 
2014-12-15 20:56:03,670 [17] INFO  DayKLog [(null)] - Line:35  code:002387,date:黑牛食品 starting 
2014-12-15 20:56:03,710 [9] INFO  DayKLog [(null)] - Line:36  code:600015,date:华夏银行 starting 
2014-12-15 20:56:03,800 [16] INFO  DayKLog [(null)] - Line:37  code:300376,date:易事特 starting 
2014-12-15 20:56:03,830 [8] INFO  DayKLog [(null)] - Line:38  code:600213,date:亚星客车 starting 
2014-12-15 20:56:03,970 [11] INFO  DayKLog [(null)] - Line:39  code:600066,date:宇通客车 starting 
2014-12-15 20:56:03,970 [14] INFO  DayKLog [(null)] - Line:40  code:601398,date:工商银行 starting 
2014-12-15 20:56:04,030 [13] INFO  DayKLog [(null)] - Line:41  code:600036,date:招商银行 starting 
2014-12-15 20:56:04,080 [1] INFO  DayKLog [(null)] - Line:42  code:000001,date:平安银行 starting 
2014-12-15 20:56:04,110 [12] INFO  DayKLog [(null)] - Line:43  code:601009,date:南京银行 starting 
2014-12-15 20:56:04,140 [17] INFO  DayKLog [(null)] - Line:44  code:601166,date:兴业银行 starting 
2014-12-15 20:56:04,250 [15] INFO  DayKLog [(null)] - Line:45  code:601939,date:建设银行 starting 
2014-12-15 20:56:04,330 [9] INFO  DayKLog [(null)] - Line:46  code:601998,date:中信银行 starting 
